Provinsi / Kabupaten / Kota,Rata-Rata Lama Sekolah (Tahun)
KOTAWARINGIN TIMUR,8.08
KAPUAS,7.35
BARITO SELATAN,8.48
BARITO UTARA,8.41
SUKAMARA,7.62
LAMANDAU,7.84
SERUYAN,7.8
KATINGAN,8.45
PULANG PISAU,7.93
GUNUNG MAS,8.81
BARITO TIMUR,8.84
MURUNG RAYA,7.53
KOTA PALANGKA RAYA,10.9
KALIMANTAN SELATAN,8.01
TANAH LAUT,7.65
KOTA BARU,7.1
BANJAR,7.33
BARITO KUALA,7.27
TAPIN,7.36
HULU SUNGAI SELATAN,7.4
HULU SUNGAI TENGAH,7.61
HULU SUNGAI UTARA,7.57
TABALONG,8.25
TANAH BUMBU,7.73
BALANGAN,7.05
KOTA BANJARMASIN,10.06
KOTA BANJAR BARU,10.68
KALIMANTAN TIMUR,9.39
PASIR,8.35
KUTAI BARAT,8.43
KUTAI KARTANEGARA,8.89
KUTAI TIMUR,8.63
BERAU,8.82
MALINAU,-
BULUNGAN,-
NUNUKAN,-
PENAJAM PASER UTARA,7.82
TANA TIDUNG,-
MAHAKAM ULU,7.33
KOTA BALIKPAPAN,10.49
KOTA SAMARINDA,10.38
KOTA TARAKAN,-
KOTA BONTANG,10.45
KALIMANTAN UTARA,8.52
MALINAU,8.54
BULONGAN,8.24
TANA TIDUNG,7.65
NUNUKAN,7.57
KOTA TARAKAN,9.5
SULAWESI UTARA,9.09
BOLAANG MONGONDOW,7.48
MINAHASA,9.55
KEPULAUAN SANGIHE,7.76
KEPULAUAN TALAUD,8.82
MINAHASA SELATAN,8.8
MINAHASA UTARA,9.42
BOLAANG MONGONDOW UTARA,7.44
SIAU TAGULANDANG BIARO,8.65
MINAHASA TENGGARA,8.43
BOLAANG MONGONDOW SELATAN,7.32
BOLAANG MONGONDOW TIMUR,7.5
KOTA MANADO,10.92
KOTA BITUNG,9.47
KOTA TOMOHON,10.3
KOTA KOTAMOBAGU,9.54
SULAWESI TENGAH,8.22
BANGGAI KEPULAUAN,7.96
BANGGAI,8.05
MOROWALI,8.28
POSO,8.82
DONGGALA,7.67
TOLI-TOLI,8.09
